date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:49	3450/3450	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/NjZ4MHg3MA==/xv,PC3,PAD,PC5,P99ivka-club+250-2.jpg.pagespeed.ic.nZQkRDJRoo.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NjZ4MHg3MA==/xv,PC3,PAD,PC5,P99ivka-club+250-2.jpg.pagespeed.ic.nZQkRDJRoo.jpg	(from https://www.caretta-spa.cz/virivky/club-250)
16:47:49	3217/3217	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/Njd4MHg3MA==/xv,PC3,PAD,PC5,P99ivka-club+250-3.jpg.pagespeed.ic.nfuHLP40FR.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/Njd4MHg3MA==/xv,PC3,PAD,PC5,P99ivka-club+250-3.jpg.pagespeed.ic.nfuHLP40FR.jpg	(from https://www.caretta-spa.cz/virivky/club-250)
16:47:51	39740/39740	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2015:47:47%20GMT	https://www.caretta-spa.cz/images/NDExeDE5MjB4MA==/xCOLOSSEO-banner_popis.jpg.pagespeed.ic.UoT-SOCbW9.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NDExeDE5MjB4MA==/xCOLOSSEO-banner_popis.jpg.pagespeed.ic.UoT-SOCbW9.jpg	(from https://www.caretta-spa.cz/virivky/colosseo)
16:47:51	1410138/1410138	---MC-	200	added ('OK')	application/pdf	date:Sat,%2006%20Nov%202021%2015:47:46%20GMT	https://www.caretta-spa.cz/files/206/Club%20250%201.pdf	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/files/206/Club%20250%201.pdf	(from https://www.caretta-spa.cz/virivky/club-250)
16:47:51	30107/30107	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2015:47:47%20GMT	https://www.caretta-spa.cz/images/MzUzeDc2N3gw/xcolosseo+web+u+textu,P281,P29.jpg.pagespeed.ic.TNCf-BxzNP.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/MzUzeDc2N3gw/xcolosseo+web+u+textu,P281,P29.jpg.pagespeed.ic.TNCf-BxzNP.jpg	(from https://www.caretta-spa.cz/virivky/colosseo)
16:47:51	39622/39622	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2015:47:47%20GMT	https://www.caretta-spa.cz/images/MzUyeDc2N3gw/xcolosseo+ratan+u+textu,P281,P29.jpg.pagespeed.ic.hwYhUjlHwx.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/MzUyeDc2N3gw/xcolosseo+ratan+u+textu,P281,P29.jpg.pagespeed.ic.hwYhUjlHwx.jpg	(from https://www.caretta-spa.cz/virivky/colosseo)
16:47:51	1819/1819	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/MzUzeDB4NzA=/xcolosseo+web+u+textu,P281,P29.jpg.pagespeed.ic.di5TCMM7a6.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/MzUzeDB4NzA=/xcolosseo+web+u+textu,P281,P29.jpg.pagespeed.ic.di5TCMM7a6.jpg	(from https://www.caretta-spa.cz/virivky/colosseo)
16:47:52	2312/2312	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/MzUyeDB4NzA=/xcolosseo+ratan+u+textu,P281,P29.jpg.pagespeed.ic.UQ9NdO_kEh.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/MzUyeDB4NzA=/xcolosseo+ratan+u+textu,P281,P29.jpg.pagespeed.ic.UQ9NdO_kEh.jpg	(from https://www.caretta-spa.cz/virivky/colosseo)
16:47:53	388991/388991	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Nov%202021%2022:43:29%20GMT	https://www.caretta-spa.cz/images/MzM1eDE5MjB4MA==/xDELIRIO+jpg.jpg.pagespeed.ic.pnxwiHT3-W.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/MzM1eDE5MjB4MA==/xDELIRIO+jpg.jpg.pagespeed.ic.pnxwiHT3-W.jpg	(from https://www.caretta-spa.cz/virivky/delirio)
16:47:53	35564/35564	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Nov%202021%2022:43:29%20GMT	https://www.caretta-spa.cz/images/MzU1eDc2N3gw/xdelirio+web+u+textu,P281,P29.jpg.pagespeed.ic.0pQ-4BMDhN.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/MzU1eDc2N3gw/xdelirio+web+u+textu,P281,P29.jpg.pagespeed.ic.0pQ-4BMDhN.jpg	(from https://www.caretta-spa.cz/virivky/delirio)
